Index	Name	Type	Nullable	References	Description
0	vacrelid	oid		pg_class.oid	"the table this entry is for"
1	enabled	bool			"if false, this table will not be autovacuumed, except to prevent transaction id wraparound"
2	vac_base_thresh	integer			"minimum number of modified tuples before vacuum"
3	vac_scale_factor	float4			"multiplier for reltuples to add to vac_base_thresh"
4	anl_base_thresh	integer			"minimum number of modified tuples before analyze"
5	anl_scale_factor	float4			"multiplier for reltuples to add to anl_base_thresh"
6	vac_cost_delay	integer			"custom vacuum_cost_delay parameter"
7	vac_cost_limit	integer			"custom vacuum_cost_limit parameter"
8	freeze_min_age	integer			"custom vacuum_freeze_min_age parameter"
9	freeze_max_age	integer			"custom autovacuum_freeze_max_age parameter"
