Index	Name	Type	Nullable	References	Description
0	rolname	NAME			"role name"
1	rolsuper	BOOL			"role has superuser privileges"
2	rolinherit	BOOL			"role automatically inherits privileges of roles it is a member of"
3	rolcreaterole	BOOL			"role can create more roles"
4	rolcreatedb	BOOL			"role can create databases"
5	rolcatupdate	BOOL			"role can update system catalogs directly. (even a superuser cannot do this unless this column is true)"
6	rolcanlogin	BOOL			"role can log in. that is, this role can be given as the initial session authorization identifier"
7	rolconnlimit	INT4			"for roles that can log in, this sets maximum number of concurrent connections this role can make. -1 means no limit"
8	rolpassword	TEXT			"password (possibly encrypted); null if none"
9	rolvaliduntil	TIMESTAMPTZ			"password expiry time (only used for password authentication); null if no expiration"
10	rolconfig	TEXT[]			"session defaults for run-time configuration variables"
