tableoid	oid	false		
cmax	cid	false		
xmax	xid	false		
cmin	cid	false		
xmin	xid	false		
ctid	tid	false		
oid	oid	false		"row identifie"
relname	name	false		"name of the table, index, view, etc"
relnamespace	oid	false		"the oid of the namespace that contains this relatio"
reltype	oid	false		"the oid of the data type that corresponds to this table's row type, if any; zero for indexes, sequences, and toast tables, which have no pg_type entr"
reloftype	oid	false		"for typed tables, the oid of the underlying composite type; zero for all other relation"
relowner	oid	false		"owner of the relatio"
relam	oid	false		"if this is a table or an index, the access method used (heap, b-tree, hash, etc.); otherwise zero (zero occurs for sequences, as well as relations without storage, such as views"
relfilenode	oid	false		"name of the on-disk file of this relation; zero means this is a ""mapped"" relation whose disk file name is determined by low-level stat"
reltablespace	oid	false		"the tablespace in which this relation is stored. if zero, the database's default tablespace is implied. (not meaningful if the relation has no on-disk file."
relpages	int4	false		"size of the on-disk representation of this table in pages (of size blcksz). this is only an estimate used by the planner. it is updated by vacuum, analyze, and a few ddl commands such as create index"
reltuples	float4	false		"number of live rows in the table. this is only an estimate used by the planner. it is updated by vacuum, analyze, and a few ddl commands such as create index. if the table has never yet been vacuumed or analyzed, reltuples contains -1 indicating that the row count is unknown"
relallvisible	int4	false		"number of pages that are marked all-visible in the table's visibility map. this is only an estimate used by the planner. it is updated by vacuum, analyze, and a few ddl commands such as create index"
reltoastrelid	oid	false		"oid of the toast table associated with this table, zero if none. the toast table stores large attributes ""out of line"" in a secondary table"
relhasindex	bool	false		"true if this is a table and it has (or recently had) any indexe"
relisshared	bool	false		"true if this table is shared across all databases in the cluster. only certain system catalogs (such as pg_database) are shared"
relpersistence	char	false		"p = permanent table, u = unlogged table, t = temporary tabl"
relkind	char	false		"r = ordinary table, i = index, s = sequence, t = toast table, v = view, m = materialized view, c = composite type, f = foreign table, p = partitioned table, i = partitioned inde"
relnatts	int2	false		"number of user columns in the relation (system columns not counted). there must be this many corresponding entries in pg_attribute. see also pg_attribute.attnum"
relchecks	int2	false		"number of check constraints on the table; see pg_constraint catalo"
relhasrules	bool	false		"true if table has (or once had) rules; see pg_rewrite catalo"
relhastriggers	bool	false		"true if table has (or once had) triggers; see pg_trigger catalo"
relhassubclass	bool	false		"true if table or index has (or once had) any inheritance childre"
relrowsecurity	bool	false		"true if table has row-level security enabled; see pg_policy catalo"
relforcerowsecurity	bool	false		"true if row-level security (when enabled) will also apply to table owner; see pg_policy catalo"
relispopulated	bool	false		"true if relation is populated (this is true for all relations other than some materialized views"
relreplident	char	false		"columns used to form ""replica identity"" for rows: d = default (primary key, if any), n = nothing, f = all columns, i = index with indisreplident set (same as nothing if the index used has been dropped"
relispartition	bool	false		"true if table or index is a partitio"
relrewrite	oid	false		"for new relations being written during a ddl operation that requires a table rewrite, this contains the oid of the original relation; otherwise zero. that state is only visible internally; this field should never contain anything other than zero for a user-visible relation"
relfrozenxid	xid	false		"all transaction ids before this one have been replaced with a permanent (""frozen"") transaction id in this table. this is used to track whether the table needs to be vacuumed in order to prevent transaction id wraparound or to allow pg_xact to be shrunk. zero (invalidtransactionid) if the relation is not a table"
relminmxid	xid	false		"all multixact ids before this one have been replaced by a transaction id in this table. this is used to track whether the table needs to be vacuumed in order to prevent multixact id wraparound or to allow pg_multixact to be shrunk. zero (invalidmultixactid) if the relation is not a table"
relacl	aclitem[]	true		"access privilege"
reloptions	text[]	true		"access-method-specific options, as ""keyword=value"" string"
relpartbound	pg_node_tree	true		"if table is a partition (see relispartition), internal representation of the partition boun"
