Index	Name	Type	Nullable	References	Description
0	amname	NAME			"name of the access method"
1	amstrategies	INT2			"number of operator strategies for this access method, or zero if access method does not have a fixed set of operator strategies"
2	amsupport	INT2			"number of support routines for this access method"
3	amcanorder	BOOL			"does the access method support ordered scans sorted by the indexed column's value?"
4	amcanorderbyop	BOOL			"does the access method support ordered scans sorted by the result of an operator on the indexed column?"
5	amcanbackward	BOOL			"does the access method support backward scanning?"
6	amcanunique	BOOL			"does the access method support unique indexes?"
7	amcanmulticol	BOOL			"does the access method support multicolumn indexes?"
8	amoptionalkey	BOOL			"does the access method support a scan without any constraint for the first index column?"
9	amsearcharray	BOOL			"does the access method support scalararrayopexpr searches?"
10	amsearchnulls	BOOL			"does the access method support is null/not null searches?"
11	amstorage	BOOL			"can index storage data type differ from column data type?"
12	amclusterable	BOOL			"can an index of this type be clustered on?"
13	ampredlocks	BOOL			"does an index of this type manage fine-grained predicate locks?"
14	amkeytype	OID		pg_type.oid	"type of data stored in index, or zero if not a fixed type"
15	aminsert	REGPROC		pg_proc.oid	"""insert this tuple"" function"
16	ambeginscan	REGPROC		pg_proc.oid	"""prepare for index scan"" function"
17	amgettuple	REGPROC		pg_proc.oid	"""next valid tuple"" function, or zero if none"
18	amgetbitmap	REGPROC		pg_proc.oid	"""fetch all valid tuples"" function, or zero if none"
19	amrescan	REGPROC		pg_proc.oid	"""(re)start index scan"" function"
20	amendscan	REGPROC		pg_proc.oid	"""clean up after index scan"" function"
21	ammarkpos	REGPROC		pg_proc.oid	"""mark current scan position"" function"
22	amrestrpos	REGPROC		pg_proc.oid	"""restore marked scan position"" function"
23	ambuild	REGPROC		pg_proc.oid	"""build new index"" function"
24	ambuildempty	REGPROC		pg_proc.oid	"""build empty index"" function"
25	ambulkdelete	REGPROC		pg_proc.oid	"bulk-delete function"
26	amvacuumcleanup	REGPROC		pg_proc.oid	"post-vacuum cleanup function"
27	amcanreturn	REGPROC		pg_proc.oid	"function to check whether index supports index-only scans, or zero if none"
28	amcostestimate	REGPROC		pg_proc.oid	"function to estimate cost of an index scan"
29	amoptions	REGPROC		pg_proc.oid	"function to parse and validate reloptions for an index"
