Index	Name	Type	Nullable	References	Description
0	schemaname	NAME		pg_namespace.nspname	"name of schema containing sequence"
1	sequencename	NAME		pg_class.relname	"name of sequence"
2	sequenceowner	NAME		pg_authid.rolname	"name of sequence's owner"
3	data_type	REGTYPE		pg_type.oid	"data type of the sequence"
4	start_value	BIGINT			"start value of the sequence"
5	min_value	BIGINT			"minimum value of the sequence"
6	max_value	BIGINT			"maximum value of the sequence"
7	increment_by	BIGINT			"increment value of the sequence"
8	cycle	BOOLEAN			"whether the sequence cycles"
9	cache_size	BIGINT			"cache size of the sequence"
10	last_value	BIGINT			"the last sequence value written to disk. if caching is used, this value can be greater than the last value handed out from the sequence. null if the sequence has not been read from yet. also, if the current user does not have usage or select privilege on the sequence, the value is null."
