Index	Name	Type	Nullable	References	Description
0	amname	name			"name of the access method"
1	amstrategies	int2			"number of operator strategies for this access method, or zero if access method does not have a fixed set of operator strategies"
2	amsupport	int2			"number of support routines for this access method"
3	amcanorder	bool			"does the access method support ordered scans sorted by the indexed column's value?"
4	amcanorderbyop	bool			"does the access method support ordered scans sorted by the result of an operator on the indexed column?"
5	amcanbackward	bool			"does the access method support backward scanning?"
6	amcanunique	bool			"does the access method support unique indexes?"
7	amcanmulticol	bool			"does the access method support multicolumn indexes?"
8	amoptionalkey	bool			"does the access method support a scan without any constraint for the first index column?"
9	amsearchnulls	bool			"does the access method support is null/not null searches?"
10	amstorage	bool			"can index storage data type differ from column data type?"
11	amclusterable	bool			"can an index of this type be clustered on?"
12	ampredlocks	bool			"does an index of this type manage fine-grained predicate locks?"
13	amkeytype	oid		pg_type.oid	"type of data stored in index, or zero if not a fixed type"
14	aminsert	regproc		pg_proc.oid	"""insert this tuple"" function"
15	ambeginscan	regproc		pg_proc.oid	"""prepare for index scan"" function"
16	amgettuple	regproc		pg_proc.oid	"""next valid tuple"" function, or zero if none"
17	amgetbitmap	regproc		pg_proc.oid	"""fetch all valid tuples"" function, or zero if none"
18	amrescan	regproc		pg_proc.oid	"""(re)start index scan"" function"
19	amendscan	regproc		pg_proc.oid	"""clean up after index scan"" function"
20	ammarkpos	regproc		pg_proc.oid	"""mark current scan position"" function"
21	amrestrpos	regproc		pg_proc.oid	"""restore marked scan position"" function"
22	ambuild	regproc		pg_proc.oid	"""build new index"" function"
23	ambuildempty	regproc		pg_proc.oid	"""build empty index"" function"
24	ambulkdelete	regproc		pg_proc.oid	"bulk-delete function"
25	amvacuumcleanup	regproc		pg_proc.oid	"post-vacuum cleanup function"
26	amcostestimate	regproc		pg_proc.oid	"function to estimate cost of an index scan"
27	amoptions	regproc		pg_proc.oid	"function to parse and validate reloptions for an index"
