Index	Name	Type	Nullable	References	Description
0	name	TEXT			"run-time configuration parameter name"
1	setting	TEXT			"current value of the parameter"
2	unit	TEXT			"implicit unit of the parameter"
3	category	TEXT			"logical group of the parameter"
4	short_desc	TEXT			"a brief description of the parameter"
5	extra_desc	TEXT			"additional, more detailed, description of the parameter"
6	context	TEXT			"context required to set the parameter's value"
7	vartype	TEXT			"parameter type (bool, enum, integer, real, or string)"
8	source	TEXT			"source of the current parameter value"
9	min_val	TEXT			"minimum allowed value of the parameter (null for non-numeric values)"
10	max_val	TEXT			"maximum allowed value of the parameter (null for non-numeric values)"
11	enumvals	TEXT[]			"allowed values of an enum parameter (null for non-enum values)"
12	boot_val	TEXT			"parameter value assumed at server startup if the parameter is not otherwise set"
13	reset_val	TEXT			"value that reset would reset the parameter to in the current session"
14	sourcefile	TEXT			"configuration file the current value was set in (null for values set from sources other than configuration files, or when examined by a non-superuser). helpful when using configuration include directives"
15	sourceline	INTEGER			"line number within the configuration file the current value was set at (null for values set from sources other than configuration files, or when examined by a non-superuser)"
