Index	Name	Type	Nullable	References	Description
1	oid	oid			"row identifier"
2	datname	name			"database name"
3	datdba	oid			"owner of the database, usually the user who created it"
4	encoding	int4			"character encoding for this database (pg_encoding_to_char() can translate this number to the encoding name)"
5	datlocprovider	char			"locale provider for this database: c = libc, i = icu"
6	datistemplate	bool			"if true, then this database can be cloned by any user with createdb privileges; if false, then only superusers or the owner of the database can clone it."
7	datallowconn	bool			"if false then no one can connect to this database. this is used to protect the template0 database from being altered."
8	datconnlimit	int4			"sets maximum number of concurrent connections that can be made to this database. -1 means no limit."
9	datfrozenxid	xid			"all transaction ids before this one have been replaced with a permanent (""frozen"") transaction id in this database. this is used to track whether the database needs to be vacuumed in order to prevent transaction id wraparound or to allow pg_xact to be shrunk. it is the minimum of the per-table pg_class.relfrozenxid values."
10	datminmxid	xid			"all multixact ids before this one have been replaced with a transaction id in this database. this is used to track whether the database needs to be vacuumed in order to prevent multixact id wraparound or to allow pg_multixact to be shrunk. it is the minimum of the per-table pg_class.relminmxid values."
11	dattablespace	oid			"the default tablespace for the database. within this database, all tables for which pg_class.reltablespace is zero will be stored in this tablespace; in particular, all the non-shared system catalogs will be there."
12	datcollate	text			"lc_collate for this database"
13	datctype	text			"lc_ctype for this database"
14	daticulocale	text			"icu locale id for this database"
15	datcollversion	text			"provider-specific version of the collation. this is recorded when the database is created and then checked when it is used, to detect changes in the collation definition that could lead to data corruption."
16	datacl	aclitem[]			"access privileges; see section 5.7 for details"
