Index	Name	Type	Nullable	References	Description
0	oid	OID			"row identifier"
1	datname	NAME			"database name"
2	datdba	OID			"owner of the database, usually the user who created it"
3	encoding	INT4			"character encoding for this database (pg_encoding_to_char() can translate this number to the encoding name)"
4	datlocprovider	CHAR			"locale provider for this database: c = libc, i = icu"
5	datistemplate	BOOL			"if true, then this database can be cloned by any user with createdb privileges; if false, then only superusers or the owner of the database can clone it."
6	datallowconn	BOOL			"if false then no one can connect to this database. this is used to protect the template0 database from being altered."
7	datconnlimit	INT4			"sets maximum number of concurrent connections that can be made to this database. -1 means no limit."
8	datfrozenxid	XID			"all transaction ids before this one have been replaced with a permanent (“frozen”) transaction id in this database. this is used to track whether the database needs to be vacuumed in order to prevent transaction id wraparound or to allow pg_xact to be shrunk. it is the minimum of the per-table pg_class.relfrozenxid values."
9	datminmxid	XID			"all multixact ids before this one have been replaced with a transaction id in this database. this is used to track whether the database needs to be vacuumed in order to prevent multixact id wraparound or to allow pg_multixact to be shrunk. it is the minimum of the per-table pg_class.relminmxid values."
10	dattablespace	OID			"the default tablespace for the database. within this database, all tables for which pg_class.reltablespace is zero will be stored in this tablespace; in particular, all the non-shared system catalogs will be there."
11	datcollate	TEXT			"lc_collate for this database"
12	datctype	TEXT			"lc_ctype for this database"
13	daticulocale	TEXT			"icu locale id for this database"
14	datcollversion	TEXT			"provider-specific version of the collation. this is recorded when the database is created and then checked when it is used, to detect changes in the collation definition that could lead to data corruption."
15	datacl	ACLITEM[]			"access privileges; see section 5.7 for details"
