Index	Name	Type	Nullable	References	Description
1	proname	name			"name of the function"
2	proowner	int4		pg_shadow.usesysid	"owner (creator) of the function"
3	prolang	oid		pg_language.oid	"implementation language or call interface of this function"
4	proisinh	bool			unused
5	proistrusted	bool			"not functional"
6	proiscachable	bool			"function returns same result for same input values"
7	proisstrict	bool			"function returns null if any call argument is null. in that case the function won't actually be called at all. functions that are not ""strict"" must be prepared to handle null inputs."
8	pronargs	int2			"number of arguments"
9	proretset	bool			"function returns a set (ie, multiple values of the specified datatype)"
10	prorettype	oid		pg_type.oid	"data type of the return value (0 if the function does not return a value)"
11	proargtypes	oidvector		pg_type.oid	"a vector with the data types of the function arguments"
12	probyte_pct	int4			"dead code"
13	properbyte_cpu	int4			"dead code"
14	propercall_cpu	int4			"dead code"
15	prooutin_ratio	int4			"dead code"
16	prosrc	text			"this tells the function handler how to invoke the function. it might be the actual source code of the function for interpreted languages, a link symbol, a file name, or just about anything else, depending on the implementation language/call convention."
17	probin	bytea			"additional information about how to invoke the function. again, the interpretation is language-specific."
