Name	Type	Nullable	References	Description
tableoid	oid	false		
cmax	cid	false		
xmax	xid	false		
cmin	cid	false		
xmin	xid	false		
ctid	tid	false		
oid	oid	false		"row identifier"
subdbid	oid	false		"oid of the database which the subscription resides in"
subname	name	false		"name of the subscription"
subowner	oid	false		"owner of the subscription"
subenabled	bool	false		"if true, the subscription is enabled and should be replicating."
subconninfo	text	false		"connection string to the upstream database"
subslotname	name	true		"name of the replication slot in the upstream database (also used for the local replication origin name); null represents none"
subsynccommit	text	false		"contains the value of the synchronous_commit setting for the subscription workers."
subpublications	text[]	false		"array of subscribed publication names. these reference the publications on the publisher server. for more on publications"
