Index	Name	Type	Nullable	References	Description
0	amname	NAME			"name of the access method"
1	amstrategies	INT2			"number of operator strategies for this access method, or zero if access method does not have a fixed set of operator strategies"
2	amsupport	INT2			"number of support routines for this access method"
3	amcanorder	BOOL			"does the access method support ordered scans?"
4	amcanbackward	BOOL			"does the access method support backward scanning?"
5	amcanunique	BOOL			"does the access method support unique indexes?"
6	amcanmulticol	BOOL			"does the access method support multicolumn indexes?"
7	amoptionalkey	BOOL			"does the access method support a scan without any constraint for the first index column?"
8	amindexnulls	BOOL			"does the access method support null index entries?"
9	amsearchnulls	BOOL			"does the access method support is null searches?"
10	amstorage	BOOL			"can index storage data type differ from column data type?"
11	amclusterable	BOOL			"can an index of this type be clustered on?"
12	amkeytype	OID		pg_type.oid	"type of data stored in index, or zero if not a fixed type"
13	aminsert	REGPROC		pg_proc.oid	"""insert this tuple"" function"
14	ambeginscan	REGPROC		pg_proc.oid	"""start new scan"" function"
15	amgettuple	REGPROC		pg_proc.oid	"""next valid tuple"" function, or zero if none"
16	amgetbitmap	REGPROC		pg_proc.oid	"""fetch all valid tuples"" function, or zero if none"
17	amrescan	REGPROC		pg_proc.oid	"""restart this scan"" function"
18	amendscan	REGPROC		pg_proc.oid	"""end this scan"" function"
19	ammarkpos	REGPROC		pg_proc.oid	"""mark current scan position"" function"
20	amrestrpos	REGPROC		pg_proc.oid	"""restore marked scan position"" function"
21	ambuild	REGPROC		pg_proc.oid	"""build new index"" function"
22	ambulkdelete	REGPROC		pg_proc.oid	"bulk-delete function"
23	amvacuumcleanup	REGPROC		pg_proc.oid	"post-vacuum cleanup function"
24	amcostestimate	REGPROC		pg_proc.oid	"function to estimate cost of an index scan"
25	amoptions	REGPROC		pg_proc.oid	"function to parse and validate reloptions for an index"
